,Alpha,Times
0,1e-05,16040
1,1.9999999999999998e-05,8920
2,2.9999999999999997e-05,6320
3,3.9999999999999996e-05,4940
4,4.9999999999999996e-05,4080
5,5.9999999999999995e-05,3500
6,7e-05,3060
7,7.999999999999999e-05,2740
8,8.999999999999999e-05,2480
9,9.999999999999999e-05,2260
10,0.00010999999999999999,2080
11,0.00011999999999999999,1940
12,0.00013,1820
13,0.00014,1700
14,0.00015,1620
15,0.00015999999999999999,1520
16,0.00016999999999999999,1460
17,0.00017999999999999998,1380
18,0.00018999999999999998,1320
19,0.00019999999999999998,1280
20,0.00020999999999999998,1220
21,0.00021999999999999998,1180
22,0.00022999999999999998,1140
23,0.00023999999999999998,1100
24,0.00025,1060
25,0.00026000000000000003,1020
26,0.00027,1000
27,0.00028,960
28,0.00029,940
29,0.00030000000000000003,920
30,0.00031,900
31,0.00031999999999999997,880
32,0.00033,860
33,0.00034,840
34,0.00035,820
35,0.00035999999999999997,800
36,0.00037,780
37,0.00038,760
38,0.00039,740
39,0.00039999999999999996,740
40,0.00041,720
41,0.00042,700
42,0.00043,700
43,0.00043999999999999996,680
44,0.00045,680
45,0.00046,660
46,0.00047,660
47,0.00047999999999999996,640
48,0.00049,640
49,0.0005,620
50,0.00051,620
51,0.00052,600
52,0.00053,600
53,0.00054,580
54,0.0005499999999999999,580
55,0.00056,580
56,0.00057,560
57,0.00058,560
58,0.00059,560
59,0.0006,540
60,0.00061,540
61,0.00062,540
62,0.0006299999999999999,520
63,0.0006399999999999999,520
64,0.00065,520
65,0.00066,500
66,0.00067,500
67,0.0006799999999999999,500
68,0.00069,500
69,0.0007,480
70,0.0007099999999999999,480
71,0.0007199999999999999,480
72,0.00073,480
73,0.00074,460
74,0.00075,460
75,0.0007599999999999999,460
76,0.00077,460
77,0.00078,460
78,0.0007899999999999999,440
79,0.0007999999999999999,440
80,0.00081,440
81,0.00082,440
82,0.00083,440
83,0.0008399999999999999,440
84,0.00085,420
85,0.00086,420
86,0.0008699999999999999,420
87,0.0008799999999999999,420
88,0.00089,420
89,0.0009,420
90,0.00091,400
91,0.0009199999999999999,400
92,0.0009299999999999999,400
93,0.00094,400
94,0.0009499999999999999,400
95,0.0009599999999999999,400
96,0.0009699999999999999,400
97,0.00098,380
98,0.00099,380
99,0.001,380
