Iterations,Ln(change)
202,-1.836409012554567
203,-1.8466152597545236
204,-1.8568012060794907
205,-1.8669671237740546
206,-1.8771132811807087
207,-1.887239942794194
208,-1.8973473693162037
209,-1.9074358177089623
210,-1.9175055412478406
211,-1.9275567895731447
212,-1.937589808741561
213,-1.9476048412767264
214,-1.9576021262189138
215,-1.96758189917432
216,-1.9775443923627885
217,-1.9874898346665544
218,-1.9974184516763522
219,-2.00733046573809
220,-2.0172260959988004
221,-2.027105558450935
222,-2.0369690659778086
223,-2.0468168283960257
224,-2.0566490524998597
225,-2.066465942102961
226,-2.076267698080806
227,-2.0860545184111934
228,-2.095826598215882
229,-2.1055841298005054
230,-2.1153273026933666
231,-2.125056303685415
232,-2.1347713168682603
233,-2.1444725236721816
234,-2.154160102903349
235,-2.163834230780746
236,-2.173495080972465
237,-2.183142824631649
238,-2.1927776304313866
239,-2.202399664600045
240,-2.2120090909552403
241,-2.221606070937478
242,-2.2311907636438613
243,-2.240763325861156
244,-2.2503239120971523
245,-2.259872674613911
246,-2.2694097634584507
247,-2.2789353264937513
248,-2.288449509430123
249,-2.297952455854401
250,-2.3074443072607336
251,-2.316925203078868
252,-2.3263952807039816
253,-2.335854675524597
254,-2.345303520951527
255,-2.354741948444154
256,-2.3641700875394447
257,-2.3735880658775685
258,-2.3829960092294966
259,-2.3923940415229943
260,-2.4017822848672084
261,-2.4111608595806207
262,-2.4205298842134466
263,-2.429889475574732
264,-2.4392397487556225
265,-2.448580817153156
266,-2.4579127924950903
267,-2.467235784862657
268,-2.476549902713908
269,-2.485855252905971
270,-2.495151940718257
271,-2.504440069874468
272,-2.513719742564069
273,-2.522991059464216
274,-2.5322541197608808
275,-2.5415090211694764
276,-2.550755859956441
277,-2.5599947309585684
278,-2.569225727603615
279,-2.578448941930364
280,-2.5876644646075384
281,-2.596872384953631
282,-2.606072790955711
283,-2.6152657692881327
284,-2.624451405331126
285,-2.6336297831888382
286,-2.6428009857074732
287,-2.651965094493391
288,-2.661122189929743
289,-2.6702723511940434
290,-2.679415656275989
291,-2.688552181993098
292,-2.6976820040079525
293,-2.706805196843886
294,-2.7159218339019446
295,-2.725031987475956
296,-2.7341357287685306
297,-2.743233127907032
298,-2.7523242539572967
299,-2.761409174940152
300,-2.77048795784571
301,-2.779560668647682
302,-2.7886273723176402
303,-2.7976881328404977
304,-2.8067430132266566
305,-2.8157920755276793
306,-2.8248353808476483
307,-2.8338725355450887
308,-2.8428989582153132
309,-2.851919728678761
310,-2.860934905141022
311,-2.8699445449194405
312,-2.878948704457105
313,-2.8879474393328537
314,-2.896940804275845
315,-2.905928853175891
316,-2.9149116390956475
317,-2.9238892142834523
318,-2.9328616301825363
319,-2.9418289374453668
320,-2.950791185942041
321,-2.959748424772212
322,-2.9687007022778564
323,-2.977648066051389
324,-2.986590562948294
325,-2.995528239094926
326,-3.0044611399030408
327,-3.0133893100755036
328,-3.0223127936197627
329,-3.0312316338554663
330,-3.040145873426006
331,-3.0490555543069475
332,-3.0579607178153436
333,-3.0668614046205773
334,-3.0757576547523713
335,-3.084649507610296
336,-3.0935370019728823
337,-3.102420176005931
338,-3.1112990672724687
339,-3.120173712739912
340,-3.1290441487896685
341,-3.1379104112253833
342,-3.146771370859828
343,-3.1556240476175983
344,-3.1644726190082095
345,-3.1733171189710525
346,-3.1821575809035587
347,-3.190994037669623
348,-3.199826521605721
349,-3.208655064529852
350,-3.217479697747378
351,-3.226300452060919
352,-3.2351173577754895
353,-3.2439304447055846
354,-3.2527397421848483
355,-3.261545279068579
356,-3.2703470837450848
357,-3.2791451841401953
358,-3.2879396077229393
359,-3.2967303815154008
360,-3.3055156944739332
361,-3.3142962018031175
362,-3.3230731223183616
363,-3.331846481462853
364,-3.340616304259312
365,-3.349382615319165
366,-3.3581454388448315
367,-3.366904798638469
368,-3.3756607181064244
369,-3.38441322026549
370,-3.3931623277480347
371,-3.401908062808922
372,-3.4106504473284622
373,-3.4193895028213235
374,-3.4281252504384385
375,-3.4368577109756115
376,-3.4455869048749
377,-3.454312852232746
378,-3.463035572805739
379,-3.4717550860122417
380,-3.480471410938538
381,-3.4891845663465113
382,-3.4978945706741946
383,-3.5066014420435443
384,-3.515305198264088
385,-3.52400585683691
386,-3.532703434960117
387,-3.541397949533509
388,-3.550089417160887
389,-3.558777854158147
390,-3.567463276553525
391,-3.576145700094168
392,-3.5848251402502003
393,-3.5935016122184367
394,-3.6021751309264336
395,-3.610845711034587
396,-3.6195133669462627
397,-3.628178112802985
398,-3.6368399624944865
399,-3.645498929662273
400,-3.6541550276983448
401,-3.6628082697547124
402,-3.671458668744001
403,-3.6801062373431237
404,-3.688750987997332
405,-3.6973929329252297
406,-3.7060320841175423
407,-3.7146684533465653
408,-3.723302052164137
409,-3.7319328919093664
410,-3.740560983706797
411,-3.7491863384756714
412,-3.757808966927739
413,-3.766428879573582
414,-3.7750460867245
415,-3.7836605984952296
416,-3.7922724248074946
417,-3.8008815753936456
418,-3.80948805979675
419,-3.8180918873771508
