Distance,E field
1,19029.77932826493
2,9423.185123488127
3,5922.723479430252
4,4291.923323807911
5,3368.395600814072
6,2771.7779021571187
7,2352.01008238452
8,2039.1937263348575
9,1796.2877888842856
10,1601.7166540221467
11,1442.007678651905
12,1308.2917085402378
13,1194.4822818302764
14,1096.2593193409957
15,1010.4694036104145
16,934.7555220373573
17,867.319717523252
18,806.7660085860105
19,751.9935395567559
20,702.1221391719363
21,656.4393543220556
22,614.3620526124188
23,575.408117087724
24,539.175263987224
25,505.324973300562
26,473.57014560610133
27,443.6655126247028
28,415.4001087349757
29,388.5913030268426
30,363.080025715104
31,338.7269177751364
32,315.4092008447055
33,293.0181139689852
34,271.4568002006057
35,250.63855322380005
36,230.4853547456387
37,210.92664937037108
38,191.89831663496142
39,173.3418113707533
40,155.20345556411323
41,137.43388100141163
42,119.98765036169989
43,102.82314689843275
44,85.90298651085726
45,69.19571127408996
46,52.681423311212995
47,36.373469634690764
48,20.443524186576568
49,12.948790519405552
