Time steps,Time Taken (4),Time Taken (14),Time Taken (GPU),Time Taken (Lin)
10,0.149977,0.075271,1.3,0.333
25,0.352203,0.179686,1.04,0.779
50,0.690078,0.344216,1.1,1.537
100,1.365406,0.690498,1.17,2.995
250,3.393744,1.703763,1.49,7.455
500,6.756676,3.473665,1.9,14.906
750,10.553279,5.083506,2.56,22.284
1000,13.571348,6.856349,3.07,29.649
1500,20.318363,10.145295,4.1,44.359
2500,33.844607,16.967125,6.05,75.341
3000,40.605155,20.173719,7.18,89.776
3500,47.522513,23.61275,8.17,103.278
4000,54.408188,27.189573,9.19,118.63
4500,60.843399,30.571357,10.24,132.104
5000,67.613517,33.905969,11.31,148.777
5500,74.698854,38.650335,12.32,163.012
6000,80.877569,40.631232,13.36,177.080
6500,88.10344,43.639302,14.34,190.987
7000,94.582761,49.152164,14.67,206.451
7500,100.012476,52.345165,16.46,237.170
10000,134.979256,67.297241,21.51,295.185
25000,,,52.43,739.343
50000,,,103.85,1490.004
100000,,,206.65,3213.198
